bldg_id,barangay,latitude,longitude,year_built,floors,material,occupancy,vs30,event_id,magnitude,dist_km,pga_g,pgv_cms,damage_class,damage_severity
ANT-04222,Bagong Nayon,14.6478,121.24134,1968,9,Steel,Industrial,401,EVT-100,5.4,80.58,0.103,12.4,1,Class 1: Light Damage
ANT-04965,Bagong Nayon,14.55914,121.1561,2016,7,Wood,Industrial,575,EVT-060,7.1,16.67,2.307,276.8,4,Class 4: Collapse
ANT-04013,San Luis,14.59087,121.19731,2000,1,Concrete,Commercial,326,EVT-093,8.3,32.01,3.746,449.5,4,Class 4: Collapse
ANT-02409,Mayamot,14.64864,121.20082,1994,9,Masonry_URM,Industrial,250,EVT-069,5.1,55.39,0.16,19.2,1,Class 1: Light Damage
ANT-03413,Cupang,14.60827,121.24421,1990,8,Concrete,Hospital,521,EVT-090,7.0,69.19,0.425,50.9,2,Class 2: Moderate Damage
ANT-01799,San Jose,14.56434,121.19972,1963,1,Masonry_URM,Hospital,151,EVT-009,5.9,62.23,0.302,36.2,3,Class 3: Severe Damage
ANT-04817,San Isidro,14.60551,121.15525,2013,5,Masonry_URM,Hospital,751,EVT-021,5.9,12.21,1.071,128.5,4,Class 4: Collapse
ANT-02328,San Isidro,14.56133,121.19599,1971,7,Masonry_URM,Industrial,548,EVT-025,7.8,77.08,0.691,82.9,4,Class 4: Collapse
ANT-04886,Dela Paz,14.63629,121.18656,2003,2,Masonry_URM,Residential,692,EVT-076,5.5,31.19,0.323,38.8,2,Class 2: Moderate Damage
ANT-01041,Cupang,14.59709,121.1569,1962,8,Wood,Hospital,164,EVT-001,6.8,71.57,0.482,57.9,3,Class 3: Severe Damage
ANT-01007,Inarawan,14.55783,121.22943,1993,6,Concrete,Hospital,204,EVT-020,6.4,24.68,1.252,150.3,4,Class 4: Collapse
ANT-04402,Mayamot,14.55317,121.24751,1997,2,Steel,Residential,700,EVT-088,5.5,70.46,0.12,14.3,0,Class 0: No Damage
ANT-03160,Bagong Nayon,14.60741,121.21894,1963,7,Steel,School,544,EVT-002,5.2,87.69,0.076,9.1,0,Class 0: No Damage
ANT-02485,San Luis,14.61156,121.20187,1958,3,Steel,School,529,EVT-100,5.4,78.66,0.098,11.8,0,Class 0: No Damage
ANT-02733,Mayamot,14.60061,121.15594,1991,5,Steel,Commercial,434,EVT-056,6.2,22.27,0.942,113.1,3,Class 3: Severe Damage
ANT-03592,San Luis,14.64625,121.20666,1976,1,Concrete,Commercial,547,EVT-027,7.0,60.72,0.493,59.1,3,Class 3: Severe Damage
ANT-01645,San Juan,14.57746,121.12634,2021,5,Wood,Industrial,512,EVT-095,7.8,51.19,1.227,147.2,4,Class 4: Collapse
ANT-03209,Bagong Nayon,14.61421,121.2181,1986,9,Concrete,Commercial,236,EVT-071,7.4,74.8,0.69,82.8,3,Class 3: Severe Damage
ANT-04657,Dela Paz,14.55221,121.19087,1967,9,Concrete,Residential,494,EVT-067,5.1,26.47,0.3,36.0,2,Class 2: Moderate Damage
ANT-01823,San Luis,14.64172,121.22055,1987,2,Masonry_URM,School,512,EVT-072,8.2,73.43,1.059,127.0,4,Class 4: Collapse
ANT-01902,Dela Paz,14.6,121.16596,1991,2,Wood,Residential,635,EVT-054,7.8,66.68,0.832,99.8,4,Class 4: Collapse
ANT-04755,Mayamot,14.5974,121.21192,2021,7,Steel,School,565,EVT-040,8.1,75.71,0.87,104.4,2,Class 2: Moderate Damage
ANT-04679,Mayamot,14.57219,121.24575,2012,3,Concrete,Industrial,492,EVT-006,7.2,90.81,0.344,41.2,2,Class 2: Moderate Damage
ANT-03880,San Roque,14.58376,121.24337,2016,6,Masonry_URM,Hospital,561,EVT-037,5.6,81.17,0.112,13.4,1,Class 1: Light Damage
ANT-00850,San Juan,14.59389,121.18605,2022,4,Masonry_URM,Residential,731,EVT-027,7.0,54.96,0.513,61.5,3,Class 3: Severe Damage
ANT-02216,Inarawan,14.62764,121.2209,2021,8,Masonry_URM,Hospital,436,EVT-023,5.1,61.82,0.119,14.3,1,Class 1: Light Damage
ANT-04805,Muntindilaw,14.59903,121.15078,2010,5,Steel,School,722,EVT-024,5.6,82.38,0.101,12.1,0,Class 0: No Damage
ANT-00449,Bagong Nayon,14.56758,121.14117,2006,1,Wood,Hospital,627,EVT-002,5.2,78.5,0.084,10.1,1,Class 1: Light Damage
ANT-03787,San Roque,14.55757,121.13399,2018,6,Concrete,Hospital,239,EVT-041,5.3,22.39,0.536,64.3,1,Class 1: Light Damage
ANT-04180,Muntindilaw,14.55761,121.13801,1970,1,Steel,Hospital,452,EVT-035,6.1,57.16,0.288,34.6,2,Class 2: Moderate Damage
ANT-03992,San Jose,14.56224,121.1332,1998,3,Concrete,Commercial,668,EVT-054,7.8,61.69,0.906,108.7,4,Class 4: Collapse
ANT-03920,Muntindilaw,14.55592,121.19826,1955,4,Wood,Commercial,204,EVT-083,6.3,11.98,2.27,272.4,4,Class 4: Collapse
ANT-01491,Muntindilaw,14.56485,121.20029,1968,9,Wood,Commercial,469,EVT-048,6.1,45.96,0.361,43.4,3,Class 3: Severe Damage
ANT-01616,Cupang,14.61827,121.18864,1995,8,Steel,Commercial,549,EVT-087,5.0,71.57,0.084,10.1,0,Class 0: No Damage
ANT-00415,Inarawan,14.56896,121.19692,1950,8,Wood,School,707,EVT-057,5.1,28.13,0.262,31.5,2,Class 2: Moderate Damage
ANT-00040,San Juan,14.57453,121.2477,1971,8,Concrete,Industrial,574,EVT-018,6.4,46.78,0.412,49.5,3,Class 3: Severe Damage
ANT-02578,San Jose,14.55348,121.16265,1971,1,Wood,Residential,657,EVT-018,6.4,55.99,0.316,37.9,2,Class 2: Moderate Damage
ANT-03175,Dela Paz,14.6414,121.20513,2005,9,Wood,Commercial,535,EVT-058,6.1,37.71,0.435,52.2,3,Class 3: Severe Damage
ANT-00873,Dalig,14.63656,121.18965,1966,1,Steel,Industrial,523,EVT-085,7.8,43.54,1.458,175.0,4,Class 4: Collapse
ANT-03530,Dalig,14.55311,121.20419,1990,7,Wood,Commercial,433,EVT-037,5.6,85.09,0.113,13.6,0,Class 0: No Damage
ANT-02614,Mayamot,14.64378,121.22649,2022,2,Steel,Commercial,200,EVT-024,5.6,75.23,0.167,20.0,0,Class 0: No Damage
ANT-00370,Mayamot,14.64362,121.21015,2015,1,Steel,Industrial,161,EVT-024,5.6,76.95,0.173,20.7,0,Class 0: No Damage
ANT-02483,Mayamot,14.58667,121.14859,2000,8,Steel,Hospital,432,EVT-038,5.5,90.83,0.096,11.6,0,Class 0: No Damage
ANT-00750,Dela Paz,14.6302,121.20077,2010,1,Steel,School,507,EVT-009,5.9,61.22,0.214,25.7,1,Class 1: Light Damage
ANT-04741,Cupang,14.63669,121.15912,2022,5,Steel,Commercial,322,EVT-050,7.5,81.59,0.586,70.4,2,Class 2: Moderate Damage
ANT-02443,San Roque,14.6036,121.17476,1999,1,Wood,Industrial,697,EVT-087,5.0,73.22,0.076,9.1,0,Class 0: No Damage
ANT-04812,Dela Paz,14.57331,121.14511,1961,4,Steel,Commercial,518,EVT-017,7.1,70.1,0.468,56.2,2,Class 2: Moderate Damage
ANT-04858,Inarawan,14.58171,121.23924,2010,1,Masonry_URM,Industrial,276,EVT-097,5.5,46.83,0.257,30.8,2,Class 2: Moderate Damage
ANT-03204,Bagong Nayon,14.63282,121.12085,2015,8,Concrete,School,369,EVT-056,6.2,26.82,0.812,97.4,3,Class 3: Severe Damage
ANT-02371,Bagong Nayon,14.63281,121.18464,2009,5,Masonry_URM,Industrial,460,EVT-048,6.1,47.8,0.346,41.6,2,Class 2: Moderate Damage
ANT-04949,Dalig,14.63548,121.2323,1990,7,Masonry_URM,Industrial,693,EVT-052,5.3,23.14,0.363,43.6,3,Class 3: Severe Damage
ANT-04015,Dalig,14.55308,121.1622,2000,6,Steel,Commercial,452,EVT-005,7.9,17.46,4.489,538.7,4,Class 4: Collapse
ANT-02746,Cupang,14.58736,121.23982,2009,3,Steel,Hospital,165,EVT-055,5.6,77.57,0.177,21.3,1,Class 1: Light Damage
ANT-03293,Cupang,14.62742,121.20132,1965,7,Steel,Commercial,270,EVT-036,5.9,31.94,0.579,69.5,3,Class 3: Severe Damage
ANT-04951,San Isidro,14.62058,121.22893,2012,6,Masonry_URM,Industrial,650,EVT-088,5.5,74.37,0.114,13.7,1,Class 1: Light Damage
ANT-02893,San Juan,14.64185,121.14573,2009,6,Steel,Commercial,227,EVT-002,5.2,84.64,0.103,12.4,0,Class 0: No Damage
ANT-02791,San Isidro,14.56838,121.1607,1969,2,Steel,Commercial,755,EVT-034,5.3,65.53,0.107,12.9,0,Class 0: No Damage
ANT-03338,Muntindilaw,14.5913,121.214,1951,9,Masonry_URM,Industrial,283,EVT-068,8.3,57.38,1.908,229.0,4,Class 4: Collapse
ANT-02999,Inarawan,14.56932,121.17589,2008,9,Concrete,Industrial,674,EVT-086,6.5,38.43,0.574,68.9,3,Class 3: Severe Damage
ANT-01697,San Juan,14.58866,121.16755,1974,7,Masonry_URM,School,594,EVT-044,8.0,53.95,1.291,154.9,4,Class 4: Collapse
ANT-01104,San Jose,14.62523,121.20763,1979,5,Steel,Industrial,522,EVT-100,5.4,78.47,0.099,11.8,0,Class 0: No Damage
ANT-01683,San Isidro,14.57919,121.16082,2010,8,Steel,School,562,EVT-092,5.7,71.16,0.14,16.8,1,Class 1: Light Damage
ANT-04671,Inarawan,14.59877,121.1347,2019,2,Steel,Industrial,340,EVT-001,6.8,73.51,0.374,44.9,1,Class 1: Light Damage
ANT-01251,Dela Paz,14.59175,121.1519,2023,6,Concrete,Residential,594,EVT-037,5.6,91.05,0.094,11.3,0,Class 0: No Damage
ANT-00542,San Luis,14.58216,121.18775,2010,8,Masonry_URM,Residential,591,EVT-086,6.5,36.73,0.63,75.6,3,Class 3: Severe Damage
ANT-01965,San Jose,14.62243,121.2284,2018,5,Masonry_URM,Industrial,628,EVT-075,5.7,31.3,0.39,46.8,2,Class 2: Moderate Damage
ANT-02470,San Roque,14.57205,121.24799,2021,7,Wood,Residential,592,EVT-074,7.4,54.91,0.781,93.7,3,Class 3: Severe Damage
ANT-01655,Inarawan,14.56963,121.12186,2021,9,Steel,School,300,EVT-055,5.6,89.78,0.122,14.6,0,Class 0: No Damage
ANT-00508,Muntindilaw,14.63072,121.24311,1977,3,Concrete,Commercial,677,EVT-002,5.2,91.36,0.067,8.0,0,Class 0: No Damage
ANT-04944,Dalig,14.55271,121.19413,1995,6,Steel,Commercial,410,EVT-009,5.9,63.07,0.22,26.4,2,Class 2: Moderate Damage
ANT-02355,Cupang,14.56615,121.15521,2013,9,Masonry_URM,School,618,EVT-069,5.1,45.2,0.157,18.8,1,Class 1: Light Damage
ANT-04102,San Jose,14.58017,121.20429,1975,8,Concrete,Residential,255,EVT-067,5.1,28.1,0.343,41.2,2,Class 2: Moderate Damage
ANT-03717,San Luis,14.56408,121.23747,1990,1,Wood,School,180,EVT-047,6.7,34.03,1.087,130.4,4,Class 4: Collapse
ANT-01556,Cupang,14.57984,121.1711,2017,8,Steel,Industrial,468,EVT-069,5.1,47.13,0.162,19.5,0,Class 0: No Damage
ANT-04285,Cupang,14.64896,121.16407,2015,1,Steel,School,735,EVT-100,5.4,73.1,0.098,11.7,0,Class 0: No Damage
ANT-04787,Dela Paz,14.63317,121.1961,2015,9,Steel,Commercial,690,EVT-098,5.5,73.63,0.112,13.4,0,Class 0: No Damage
ANT-04433,Dela Paz,14.59318,121.19084,1977,5,Concrete,Industrial,726,EVT-087,5.0,71.65,0.077,9.3,2,Class 2: Moderate Damage
ANT-04484,San Juan,14.63857,121.13629,1997,1,Masonry_URM,Commercial,390,EVT-079,6.1,26.75,0.725,86.9,4,Class 4: Collapse
ANT-02069,Dalig,14.55256,121.21739,1952,8,Masonry_URM,Residential,756,EVT-088,5.5,68.06,0.122,14.7,1,Class 1: Light Damage
ANT-01890,San Isidro,14.56121,121.13867,1993,4,Steel,Commercial,206,EVT-042,6.2,74.46,0.273,32.8,0,Class 0: No Damage
ANT-00412,Muntindilaw,14.63717,121.13177,2019,9,Wood,Residential,431,EVT-009,5.9,68.58,0.194,23.3,1,Class 1: Light Damage
ANT-02638,Inarawan,14.57248,121.23311,2000,5,Wood,Residential,742,EVT-004,7.9,54.0,1.052,126.2,4,Class 4: Collapse
ANT-04174,Muntindilaw,14.64069,121.16551,1987,6,Steel,School,341,EVT-038,5.5,91.62,0.102,12.3,0,Class 0: No Damage
ANT-03741,San Jose,14.5613,121.18067,1951,3,Steel,Industrial,199,EVT-097,5.5,43.99,0.306,36.7,2,Class 2: Moderate Damage
ANT-02317,Muntindilaw,14.58122,121.12291,1953,1,Wood,Commercial,368,EVT-081,6.0,47.57,0.36,43.1,3,Class 3: Severe Damage
ANT-00422,Muntindilaw,14.63271,121.13223,2004,8,Steel,Industrial,616,EVT-015,6.9,59.12,0.445,53.4,2,Class 2: Moderate Damage
ANT-03449,San Juan,14.56471,121.23573,1976,9,Steel,School,229,EVT-048,6.1,42.16,0.498,59.8,2,Class 2: Moderate Damage
ANT-03024,Dalig,14.60894,121.24733,2015,6,Steel,Commercial,543,EVT-019,5.0,59.09,0.107,12.9,0,Class 0: No Damage
ANT-00804,Mayamot,14.63407,121.16161,1965,5,Masonry_URM,Residential,307,EVT-092,5.7,76.18,0.153,18.4,2,Class 2: Moderate Damage
ANT-03998,Dalig,14.60065,121.15425,1988,3,Steel,Hospital,290,EVT-097,5.5,48.38,0.243,29.2,1,Class 1: Light Damage
ANT-03431,San Juan,14.62205,121.12668,2007,1,Concrete,School,318,EVT-067,5.1,36.86,0.235,28.2,1,Class 1: Light Damage
ANT-04998,San Jose,14.55127,121.12244,1987,1,Concrete,School,298,EVT-014,6.6,30.27,1.034,124.0,4,Class 4: Collapse
ANT-04683,Muntindilaw,14.61257,121.20734,1997,8,Steel,School,682,EVT-098,5.5,71.04,0.117,14.1,0,Class 0: No Damage
ANT-01714,Dalig,14.59363,121.24313,2006,4,Wood,Hospital,758,EVT-048,6.1,41.27,0.357,42.8,2,Class 2: Moderate Damage
ANT-04445,San Luis,14.56854,121.18185,1962,4,Wood,School,554,EVT-044,8.0,54.58,1.299,155.9,4,Class 4: Collapse
ANT-01883,San Jose,14.60627,121.19107,1998,9,Steel,Industrial,656,EVT-058,6.1,40.96,0.371,44.5,2,Class 2: Moderate Damage
ANT-02061,Bagong Nayon,14.5535,121.24429,1961,8,Wood,Residential,198,EVT-095,7.8,40.3,2.189,262.7,4,Class 4: Collapse
ANT-01997,San Luis,14.62008,121.14267,1996,5,Concrete,Residential,328,EVT-084,5.9,46.98,0.342,41.1,2,Class 2: Moderate Damage
ANT-03664,Inarawan,14.60308,121.16079,1984,7,Masonry_URM,School,547,EVT-051,7.6,101.29,0.4,48.0,3,Class 3: Severe Damage
ANT-03529,Bagong Nayon,14.63699,121.17552,1967,3,Masonry_URM,Hospital,353,EVT-099,6.8,38.97,0.82,98.4,3,Class 3: Severe Damage
ANT-01992,San Jose,14.61881,121.16301,1962,4,Masonry_URM,School,331,EVT-006,7.2,101.08,0.335,40.1,3,Class 3: Severe Damage
ANT-03923,Dela Paz,14.58875,121.21647,1955,1,Wood,Industrial,710,EVT-037,5.6,84.11,0.099,11.9,1,Class 1: Light Damage
ANT-03463,Bagong Nayon,14.64329,121.13311,1980,3,Concrete,School,438,EVT-019,5.0,47.82,0.15,18.0,1,Class 1: Light Damage
ANT-00588,Inarawan,14.55456,121.19702,1951,8,Wood,Hospital,214,EVT-084,5.9,50.41,0.356,42.8,3,Class 3: Severe Damage
ANT-03946,San Luis,14.56902,121.23485,2010,6,Wood,Commercial,412,EVT-085,7.8,52.37,1.246,149.5,4,Class 4: Collapse
ANT-00282,Mayamot,14.5581,121.21376,2017,8,Masonry_URM,Commercial,365,EVT-049,8.0,68.8,1.046,125.5,4,Class 4: Collapse
ANT-04364,San Isidro,14.61247,121.24733,2006,8,Concrete,Hospital,758,EVT-017,7.1,58.35,0.53,63.6,3,Class 3: Severe Damage
ANT-02708,San Luis,14.61553,121.23794,2023,9,Concrete,Residential,487,EVT-100,5.4,81.86,0.095,11.4,0,Class 0: No Damage
ANT-00934,Bagong Nayon,14.57122,121.12383,2003,5,Concrete,Industrial,560,EVT-002,5.2,77.41,0.089,10.6,0,Class 0: No Damage
ANT-04926,Muntindilaw,14.64059,121.21016,1950,3,Concrete,Commercial,636,EVT-036,5.9,32.88,0.433,52.0,4,Class 4: Collapse
ANT-03424,San Roque,14.55837,121.18472,2021,7,Masonry_URM,Commercial,315,EVT-062,7.1,60.44,0.657,78.8,3,Class 3: Severe Damage
ANT-04634,San Isidro,14.63001,121.12342,1997,9,Concrete,Commercial,245,EVT-008,6.9,33.38,1.276,153.2,4,Class 4: Collapse
ANT-02746,Cupang,14.58736,121.23982,2009,3,Steel,Hospital,165,EVT-003,5.6,16.01,1.032,123.9,3,Class 3: Severe Damage
ANT-02290,Bagong Nayon,14.64357,121.17186,1964,4,Wood,Hospital,629,EVT-060,7.1,17.32,2.167,260.0,4,Class 4: Collapse
ANT-03832,San Roque,14.56923,121.16426,1990,3,Wood,Industrial,318,EVT-003,5.6,23.86,0.571,68.5,4,Class 4: Collapse
ANT-00488,San Jose,14.58813,121.1245,2009,5,Concrete,Industrial,572,EVT-078,6.6,46.36,0.5,60.0,2,Class 2: Moderate Damage
ANT-02668,Inarawan,14.58279,121.22882,2001,5,Wood,Hospital,212,EVT-048,6.1,42.81,0.5,60.0,3,Class 3: Severe Damage
ANT-03017,San Juan,14.57392,121.1372,1979,2,Wood,Commercial,655,EVT-097,5.5,45.52,0.205,24.6,2,Class 2: Moderate Damage
ANT-02261,Dela Paz,14.57638,121.16821,2020,8,Concrete,Residential,643,EVT-015,6.9,60.75,0.424,50.9,2,Class 2: Moderate Damage
ANT-04772,Cupang,14.57984,121.12091,2017,9,Wood,Commercial,597,EVT-052,5.3,33.79,0.25,30.0,2,Class 2: Moderate Damage
ANT-04159,San Isidro,14.60841,121.20655,1956,7,Wood,Commercial,737,EVT-070,6.5,42.0,0.502,60.2,3,Class 3: Severe Damage
ANT-04122,Muntindilaw,14.55305,121.16807,1954,1,Wood,Commercial,404,EVT-059,7.5,69.42,0.712,85.4,4,Class 4: Collapse
ANT-01066,San Isidro,14.62479,121.138,1979,5,Masonry_URM,Industrial,554,EVT-074,7.4,67.38,0.612,73.4,4,Class 4: Collapse
ANT-03960,San Roque,14.57506,121.15609,2003,7,Wood,Residential,308,EVT-002,5.2,80.25,0.101,12.1,1,Class 1: Light Damage
ANT-03189,Mayamot,14.63121,121.17676,2016,7,Wood,Residential,571,EVT-038,5.5,90.07,0.09,10.8,0,Class 0: No Damage
ANT-01350,Dalig,14.64222,121.14582,1981,3,Wood,Commercial,565,EVT-018,6.4,58.19,0.315,37.8,2,Class 2: Moderate Damage
ANT-00584,San Jose,14.61837,121.23891,2011,3,Steel,Hospital,704,EVT-036,5.9,36.02,0.378,45.3,2,Class 2: Moderate Damage
ANT-02561,Inarawan,14.57046,121.13617,1974,8,Masonry_URM,Hospital,653,EVT-090,7.0,74.75,0.358,43.0,3,Class 3: Severe Damage
ANT-04092,Dela Paz,14.55469,121.13892,1997,6,Steel,Residential,623,EVT-013,5.1,57.43,0.11,13.2,0,Class 0: No Damage
ANT-00782,San Isidro,14.55475,121.19762,1999,6,Steel,Commercial,399,EVT-090,7.0,68.57,0.465,55.8,1,Class 1: Light Damage
ANT-04758,Cupang,14.63167,121.14231,1964,5,Steel,School,698,EVT-072,8.2,81.72,0.837,100.4,3,Class 3: Severe Damage
ANT-03784,San Juan,14.64345,121.16701,2004,8,Concrete,School,539,EVT-087,5.0,73.68,0.082,9.8,0,Class 0: No Damage
ANT-04516,San Juan,14.55162,121.24421,1976,4,Concrete,School,710,EVT-037,5.6,80.78,0.105,12.6,1,Class 1: Light Damage
ANT-03499,San Isidro,14.56753,121.14291,1985,3,Steel,Commercial,673,EVT-098,5.5,70.73,0.119,14.2,0,Class 0: No Damage
ANT-03831,Inarawan,14.60476,121.12494,1989,6,Concrete,Residential,598,EVT-040,8.1,85.06,0.732,87.9,3,Class 3: Severe Damage
ANT-03140,San Jose,14.5721,121.21159,1990,9,Masonry_URM,Industrial,190,EVT-019,5.0,59.33,0.146,17.6,0,Class 0: No Damage
ANT-01170,San Jose,14.55786,121.15203,1959,1,Masonry_URM,Commercial,540,EVT-019,5.0,56.56,0.114,13.7,1,Class 1: Light Damage
ANT-00476,San Roque,14.57989,121.19671,1992,7,Masonry_URM,Commercial,169,EVT-081,6.0,43.25,0.51,61.3,3,Class 3: Severe Damage
ANT-02102,Cupang,14.62118,121.18138,1993,3,Steel,Residential,192,EVT-084,5.9,44.62,0.428,51.4,3,Class 3: Severe Damage
ANT-02879,San Juan,14.57499,121.19591,2013,4,Steel,Industrial,376,EVT-010,7.2,46.13,0.912,109.5,2,Class 2: Moderate Damage
ANT-00405,Bagong Nayon,14.60447,121.12161,2018,2,Masonry_URM,Industrial,172,EVT-019,5.0,50.44,0.185,22.2,1,Class 1: Light Damage
ANT-02580,San Juan,14.5792,121.13149,1972,1,Steel,Commercial,443,EVT-003,5.6,26.48,0.462,55.4,3,Class 3: Severe Damage
ANT-01175,San Isidro,14.61733,121.18577,1996,2,Steel,Hospital,409,EVT-016,7.3,47.03,0.996,119.5,3,Class 3: Severe Damage
ANT-03559,Cupang,14.59152,121.19314,1997,6,Steel,School,231,EVT-002,5.2,84.44,0.103,12.3,0,Class 0: No Damage
ANT-01677,San Luis,14.63002,121.2471,2006,5,Concrete,Hospital,664,EVT-089,8.1,84.44,0.736,88.3,2,Class 2: Moderate Damage
ANT-02183,San Isidro,14.59101,121.21961,1967,2,Masonry_URM,Industrial,618,EVT-078,6.6,46.51,0.487,58.4,4,Class 4: Collapse
ANT-00221,San Jose,14.60322,121.13085,1958,5,Wood,Commercial,276,EVT-018,6.4,59.42,0.38,45.6,3,Class 3: Severe Damage
ANT-01293,San Luis,14.59637,121.12302,2002,7,Steel,Hospital,620,EVT-055,5.6,88.42,0.1,12.0,0,Class 0: No Damage
ANT-03232,San Isidro,14.58673,121.20033,2004,6,Steel,Hospital,370,EVT-034,5.3,61.95,0.143,17.2,1,Class 1: Light Damage
ANT-03558,San Jose,14.56258,121.17294,1999,1,Concrete,Commercial,231,EVT-095,7.8,46.35,1.763,211.5,3,Class 3: Severe Damage
ANT-04229,Mayamot,14.62075,121.1804,1955,3,Steel,School,486,EVT-001,6.8,68.04,0.372,44.7,2,Class 2: Moderate Damage
ANT-04639,Bagong Nayon,14.64427,121.16026,2006,9,Steel,School,499,EVT-018,6.4,56.68,0.338,40.5,1,Class 1: Light Damage
ANT-00464,Mayamot,14.63021,121.22176,2017,2,Concrete,School,649,EVT-092,5.7,79.65,0.115,13.8,0,Class 0: No Damage
ANT-00124,Dela Paz,14.61121,121.23895,2013,1,Steel,Residential,207,EVT-070,6.5,43.15,0.711,85.3,1,Class 1: Light Damage
